set title 'Graph'
set size ratio 1.0
set xrange[0:1]
set yrange[0:1]
0.979585 0.0372068
0.979202 0.037434

0.0355223 0.0424132
0.0408246 0.0499214

0.242764 0.177359
0.202437 0.1511

0.0639609 0.120639
0.140981 0.130933

0.818322 0.255838
0.794558 0.251579

0.219978 0.0966351
0.21821 0.122192

0.80047 0.00885426
0.798875 0.00909549

0.608378 0.207754
0.617263 0.198555

0.566831 0.305701
0.565697 0.296806

0.696266 0.0205404
0.69522 0.0228434

0.634609 0.180594
0.639243 0.175795

0.0800371 0.15825
0.160693 0.1615

0.242764 0.177359
0.23976 0.20828

0.142215 0.91932
0.143615 0.910457

0.70503 0.494115
0.691434 0.499771

0.00317472 0.100605
0.00316264 0.0997531

0.000264134 0.387741
0.000999429 0.315203

0.494406 0.259825
0.523785 0.262682

0.439057 0.0110509
0.451027 0.0648533

0.868244 0.162938
0.833912 0.178487

0.439057 0.0110509
0.432032 0.0341539

0.453384 0.0856543
0.449389 0.0891553

0.829034 0.122879
0.620305 0.102195

0.652885 0.391268
0.655026 0.388006

0.812642 0.177339
0.801332 0.16798

0.838927 0.324787
0.838463 0.322183

0.075363 0.32404
0.082988 0.586396

0.599489 0.254165
0.57773 0.257066

0.105404 0.204549
0.111194 0.212756

0.0182522 0.363879
0.047369 0.310648

0.400395 0.48829
0.398872 0.491146

0.687387 0.378621
0.663173 0.387874

0.689125 0.111093
0.691405 0.113577

0.952596 0.198549
0.942224 0.195106

0.175473 0.140178
0.0083273 0.0517036

0.303932 0.107073
0.289388 0.110821

0.615916 0.21285
0.644402 0.221886

0.251096 0.362167
0.362119 0.316727

0.706706 0.459457
0.672237 0.452421

0.909584 0.347075
0.899353 0.352743

0.227457 0.332759
0.251657 0.342248

0.568428 0.43151
0.250497 0.339432

0.104519 0.0267787
0.122365 0.0423485

0.0794125 0.511963
0.170618 0.498233

0.461144 0.163761
0.515436 0.180981

0.361274 0.407145
0.362725 0.403611

0.395142 0.0701471
0.381553 0.072202

0.00463828 0.356849
0.0372744 0.332888

0.0785995 0.485939
0.0821956 0.487443

0.160657 0.113144
0.157615 0.126963

0.152612 0.107689
0.154978 0.109294

0.559022 0.137002
0.464653 0.130678

0.207509 0.0638381
0.257109 0.0741618

0.272844 0.423945
0.25394 0.408141

0.0485364 0.425078
0.101045 0.424813

0.0442978 0.301614
0.110047 0.264419

0.419449 0.392722
0.367124 0.380014

0.104044 0.283867
0.144084 0.25447

0.0450771 0.344287
0.104044 0.283867

0.100821 0.198053
0.105404 0.204549

0.952312 0.290743
