set title 'Graph'
set size ratio 1.0
set xrange[0:1]
set yrange[0:1]
0.627348 0.826931
0.6315 0.822571

0.417529 0.820248
0.406797 0.821192

0.406797 0.821192
0.405056 0.801405

0.322877 0.976505
0.232543 0.992179

0.807195 0.79936
0.839761 0.851224

0.660697 0.619332
0.659911 0.59663

0.659911 0.59663
0.570081 0.599741

0.482019 0.192459
0.479653 0.199075

0.648952 0.106666
0.677157 0.109985

0.677157 0.109985
0.676673 0.114099

0.529451 0.726148
0.543211 0.695697

0.476821 0.068179
0.444262 0.00925045

0.49993 0.607083
0.498848 0.608647

0.498848 0.608647
0.497526 0.607733

0.793639 0.518898
0.787844 0.488658

0.620769 0.993654
0.608451 0.996025

0.241673 0.336279
0.28019 0.43142

0.28019 0.43142
0.281265 0.430985

0.0414656 0.117633
0.0504227 0.0923522

0.052184 0.0873811
0.151029 0.122402

0.220679 0.779536
0.23586 0.79003

0.23586 0.79003
0.252218 0.766367

0.779854 0.214394
0.830789 0.181093

0.0521207 0.923837
0.0548959 0.99617

0.0548959 0.99617
0.122307 0.993583

0.437751 0.417959
0.436329 0.408002

0.426371 0.338282
0.440107 0.33632

0.981036 0.38403
0.984655 0.402934

0.521675 0.10251
0.476821 0.068179

0.067346 0.37085
0.120001 0.286204

0.120001 0.286204
0.0734213 0.257228

0.972906 0.468507
0.982218 0.446702

0.982218 0.446702
0.968471 0.440831

0.483247 0.622639
0.489581 0.619225

0.599636 0.0652647
0.648952 0.106666

0.0502811 0.0923021
0.0504227 0.0923522

0.0504227 0.0923522
0.052184 0.0873811

0.279308 0.870344
0.25541 0.853825

0.25541 0.853825
0.295287 0.796139

0.863046 0.787538
0.870036 0.752076

0.341747 0.868121
0.279308 0.870344

0.170584 0.590433
0.154528 0.604988

0.460431 0.40456
0.436329 0.408002

0.436329 0.408002
0.426371 0.338282

0.527591 0.539251
0.490562 0.513654

0.490562 0.513654
0.5 0.5

0.000653216 0.586152
0.00651314 0.556769

0.677949 0.243302
0.66866 0.241155

0.66866 0.241155
0.680059 0.191838

0.251531 0.450829
0.248815 0.444122

0.248815 0.444122
0.28019 0.43142

0.26423 0.0566752
0.219523 0.0887982

0.482188 0.199982
0.479653 0.199075

0.479653 0.199075
0.437383 0.317247

0.897283 0.972106
0.909734 0.947433

0.909734 0.947433
0.815267 0.899762

0.00338664 0.212079
0.0266897 0.265346

0.0266897 0.265346
0.0688949 0.246882

0.723999 0.513683
0.756135 0.457359

0.756135 0.457359
0.789392 0.476334

0.037516 0.0266537
0.0627039 0.0283094

0.525324 0.493915
0.519836 0.486089

0.519836 0.486089
0.5 0.5

0.765408 0.040253
0.786031 0.0702306

0.075425 0.786685
0.0604793 0.772218

0.0079675 0.826464
0.0604793 0.772218

0.0604793 0.772218
0.0251064 0.737976

0.0914397 0.849767
0.075425 0.786685

0.901945 0.247283
0.888236 0.227733

0.888236 0.227733
0.77719 0.305608

0.334996 0.477442
0.340845 0.468037

0.340845 0.468037
0.417875 0.51594

0.0481836 0.152529
0.0414656 0.117633

0.584441 0.375901
0.568264 0.412772

0.568264 0.412772
0.543176 0.401765

0.484486 0.215614
0.482188 0.199982

0.44847 0.674566
0.426746 0.678038

0.426746 0.678038
0.423148 0.655526

0.648454 0.689421
0.696323 0.685617

0.696323 0.685617
0.696386 0.686415

0.98416 0.48206
0.972906 0.468507

0.72271 0.444907
0.739482 0.447858

